curso,evaluacion,fecha,grupo_o_estudiante,estructura,programacion,teoria,ia,reflexion,presentacion,observaciones
Fundamentos de Programación (Agroindustrial),Tarea Grupal — Secadores Solares,2025-11-05,Grupo 1,4.5,4.2,4.0,3.8,4.1,4.6,"Buena coordinación"
Fundamentos de Programación (Agroindustrial),Tarea Grupal — Secadores Solares,2025-11-05,Grupo 2,3.8,3.9,4.1,3.5,3.7,4.0,"Entregaron a tiempo"
Fundamentos de Programación (Agroindustrial),Tarea Grupal — Secadores Solares,2025-11-05,Grupo 3,4.9,4.8,4.5,4.0,4.3,4.9,"Excelente implementación"
Fundamentos de Programación (Agroindustrial),Tarea Grupal — Secadores Solares,2025-11-05,Grupo 4,2.5,3.0,2.8,2.7,3.1,2.9,"Necesita más pruebas"
Fundamentos de Programación (Agroindustrial),Tarea Grupal — Secadores Solares,2025-11-05,Grupo 5,3.2,3.6,3.4,3.0,3.3,3.5,"Coordinación aceptable"
Fundamentos de Programación (Agroindustrial),Tarea Grupal — Secadores Solares,2025-11-05,Grupo 6,4.0,4.1,3.9,3.6,3.8,4.2,"Buen análisis"
Fundamentos de Programación (Agroindustrial),Tarea Grupal — Secadores Solares,2025-11-05,Grupo 7,3.5,3.7,3.6,3.4,3.5,3.9,"Faltó documentación"
Fundamentos de Programación (Agroindustrial),Tarea Grupal — Secadores Solares,2025-11-05,Grupo 8,4.3,4.0,4.2,3.9,4.0,4.4,"Resultado sólido"
Fundamentos de Programación (Agroindustrial),Tarea Grupal — Secadores Solares,2025-11-05,Grupo 9,2.9,2.8,3.0,2.5,2.7,3.1,"Entregable incompleto"
Fundamentos de Programación (Agroindustrial),Tarea Grupal — Secadores Solares,2025-11-05,Grupo 10,5.0,4.9,4.8,4.5,4.7,5.0,"Trabajo excepcional"
Fundamentos de Programación (Agroindustrial),Tarea Grupal — Secadores Solares,2025-11-05,Grupo 11,3.0,3.2,3.1,2.9,3.0,3.3,"Aceptable"
Fundamentos de Programación (Agroindustrial),Tarea Grupal — Secadores Solares,2025-11-05,Grupo 12,4.1,4.3,4.0,3.8,4.2,4.0,"Buen diseño"
Fundamentos de Programación (Agroindustrial),Tarea Grupal — Secadores Solares,2025-11-05,Grupo 13,3.7,3.5,3.8,3.2,3.6,3.9,"Funciona correctamente"
Fundamentos de Programación (Agroindustrial),Tarea Grupal — Secadores Solares,2025-11-05,Grupo 14,2.2,2.5,2.4,2.0,2.3,2.6,"Requiere rework"
Fundamentos de Programación (Agroindustrial),Tarea Grupal — Secadores Solares,2025-11-05,Grupo 15,4.6,4.4,4.3,4.1,4.5,4.7,"Muy buena coordinación"
